timestamp,pod,cpu,memory,window
2022-07-11 13:43:37.715003,maindbmspostgres-74d788b855-6qqdn,1015503,72280,0
2022-07-11 13:43:37.715003,accounting-7c6fd474cf-bvq5h,24475011,154668,0
2022-07-11 13:43:37.715003,delivery-58f4fcfc98-wr8kg,18040576,160356,0
2022-07-11 13:43:37.715003,dispatch-78c75f8d69-9q6m5,4684277,152940,0
2022-07-11 13:43:37.715003,itemviewer-6c78857774-nztvq,1001578,144836,0
2022-07-11 13:43:37.715003,order-6d444c699f-jbrpv,9440484,147024,0
2022-07-11 13:43:37.715003,pricecalculator-5bbbc85d9b-p8pfq,943350,135608,0
2022-07-11 13:43:37.715003,paymentprovider-5d46875875-f6dnl,1122101,143512,0
2022-07-11 13:43:37.715003,restaurant-66db98b648-hxqhm,4857652,150852,0
2022-07-11 13:43:39.419130,maindbmspostgres-74d788b855-6qqdn,1015503,72280,0
2022-07-11 13:43:39.419130,accounting-7c6fd474cf-bvq5h,24475011,154668,0
2022-07-11 13:43:39.419130,delivery-58f4fcfc98-wr8kg,18040576,160356,0
2022-07-11 13:43:39.419130,dispatch-78c75f8d69-9q6m5,4684277,152940,0
2022-07-11 13:43:39.419130,itemviewer-6c78857774-nztvq,1001578,144836,0
2022-07-11 13:43:39.419130,order-6d444c699f-jbrpv,9440484,147024,0
2022-07-11 13:43:39.419130,pricecalculator-5bbbc85d9b-p8pfq,943350,135608,0
2022-07-11 13:43:39.419130,paymentprovider-5d46875875-f6dnl,1122101,143512,0
2022-07-11 13:43:39.419130,restaurant-66db98b648-hxqhm,4857652,150852,0
2022-07-11 13:43:40.890934,maindbmspostgres-74d788b855-6qqdn,1015503,72280,0
2022-07-11 13:43:40.890934,accounting-7c6fd474cf-bvq5h,24475011,154668,0
2022-07-11 13:43:40.890934,delivery-58f4fcfc98-wr8kg,18040576,160356,0
2022-07-11 13:43:40.890934,dispatch-78c75f8d69-9q6m5,4684277,152940,0
2022-07-11 13:43:40.890934,itemviewer-6c78857774-nztvq,1001578,144836,0
2022-07-11 13:43:40.890934,order-6d444c699f-jbrpv,9440484,147024,0
2022-07-11 13:43:40.890934,pricecalculator-5bbbc85d9b-p8pfq,943350,135608,0
2022-07-11 13:43:40.890934,paymentprovider-5d46875875-f6dnl,1122101,143512,0
2022-07-11 13:43:40.890934,restaurant-66db98b648-hxqhm,4857652,150852,0
2022-07-11 13:43:42.449130,maindbmspostgres-74d788b855-6qqdn,1015503,72280,0
2022-07-11 13:43:42.449130,accounting-7c6fd474cf-bvq5h,24475011,154668,0
2022-07-11 13:43:42.449130,delivery-58f4fcfc98-wr8kg,18040576,160356,0
2022-07-11 13:43:42.449130,dispatch-78c75f8d69-9q6m5,4684277,152940,0
2022-07-11 13:43:42.449130,itemviewer-6c78857774-nztvq,1001578,144836,0
2022-07-11 13:43:42.449130,order-6d444c699f-jbrpv,9440484,147024,0
2022-07-11 13:43:42.449130,pricecalculator-5bbbc85d9b-p8pfq,943350,135608,0
2022-07-11 13:43:42.449130,paymentprovider-5d46875875-f6dnl,1122101,143512,0
2022-07-11 13:43:42.449130,restaurant-66db98b648-hxqhm,4857652,150852,0
2022-07-11 13:43:44.050800,maindbmspostgres-74d788b855-6qqdn,1015503,72280,0
2022-07-11 13:43:44.050800,accounting-7c6fd474cf-bvq5h,24475011,154668,0
2022-07-11 13:43:44.050800,delivery-58f4fcfc98-wr8kg,18040576,160356,0
2022-07-11 13:43:44.050800,dispatch-78c75f8d69-9q6m5,4684277,152940,0
2022-07-11 13:43:44.050800,itemviewer-6c78857774-nztvq,1001578,144836,0
2022-07-11 13:43:44.050800,order-6d444c699f-jbrpv,9440484,147024,0
2022-07-11 13:43:44.050800,pricecalculator-5bbbc85d9b-p8pfq,1064364,135640,0
2022-07-11 13:43:44.050800,paymentprovider-5d46875875-f6dnl,1388600,134336,0
2022-07-11 13:43:44.050800,restaurant-66db98b648-hxqhm,8756942,151208,0
2022-07-11 13:43:45.523955,maindbmspostgres-74d788b855-6qqdn,1460752,73648,0
2022-07-11 13:43:45.523955,accounting-7c6fd474cf-bvq5h,37247635,156448,0
2022-07-11 13:43:45.523955,delivery-58f4fcfc98-wr8kg,11210379,160848,0
2022-07-11 13:43:45.523955,dispatch-78c75f8d69-9q6m5,24986159,153220,0
2022-07-11 13:43:45.523955,itemviewer-6c78857774-nztvq,1289562,144868,0
2022-07-11 13:43:45.523955,order-6d444c699f-jbrpv,9440484,147024,0
2022-07-11 13:43:45.523955,pricecalculator-5bbbc85d9b-p8pfq,1064364,135640,0
2022-07-11 13:43:45.523955,paymentprovider-5d46875875-f6dnl,1388600,134336,0
2022-07-11 13:43:45.523955,restaurant-66db98b648-hxqhm,8756942,151208,0
2022-07-11 13:43:47.027309,maindbmspostgres-74d788b855-6qqdn,1460752,73648,0
2022-07-11 13:43:47.027309,accounting-7c6fd474cf-bvq5h,37247635,156448,0
2022-07-11 13:43:47.027309,delivery-58f4fcfc98-wr8kg,11210379,160848,0
